municipality_lower,iata_code,name
osijek,OSI,Osijek Airport
oslo,OSL,Oslo Gardermoen Airport
mosul,OSM,Mosul International Airport
ostrava,OSR,Ostrava Leos JanÃƒÂ¡Ã„Âek Airport
osh,OSS,Osh Airport
ostend,OST,Ostend-Bruges International Airport
columbus,OSU,The Ohio State University Airport - Don Scott Field
orsk,OSW,Orsk Airport
north bend,OTH,Southwest Oregon Regional Airport
gotalalamo-morotai island,OTI,Pitu Airport
ottumwa,OTM,Ottumwa Regional Airport
bucharest,OTP,Henri CoandÃ„Âƒ International Airport
corredores,OTR,Coto 47 Airport
kotzebue,OTZ,Ralph Wien Memorial Airport
ouagadougou,OUA,Ouagadougou Airport
oujda,OUD,Angads Airport
oudtshoorn,OUH,Oudtshoorn Airport
grunay island,OUK,Outer Skerries Airport
oulu / oulunsalo,OUL,Oulu Airport
novosibirsk,OVB,Tolmachevo Airport
ranãƒâ³n,OVD,Asturias Airport
sovetskiy,OVS,Sovetskiy Airport
owensboro,OWB,Owensboro Daviess County Airport
norwood,OWD,Norwood Memorial Airport
bissau,OXB,Osvaldo Vieira International Airport
kidlington,OXF,Oxford (Kidlington) Airport
oxnard,OXR,Oxnard Airport
goya,OYA,Goya Airport
oyem,OYE,Oyem Airport
oiapoque,OYK,Oiapoque Airport
tres arroyos,OYO,Tres Arroyos Airport
saint-georges-de-l'oyapock airport,OYP,Saint-Georges-de-l'Oyapock Airport
ozamiz city,OZC,Labo Airport
zaporizhia,OZH,Zaporizhzhia International Airport
morãƒâ³n,OZP,Moron Air Base
fort rucker/ozark,OZR,Cairns AAF (Fort Rucker) Air Field
ouarzazate,OZZ,Ouarzazate Airport
bilaspur,PAB,Bilaspur Airport
albrook,PAC,Marcos A. Gelabert International Airport
paderborn,PAD,Paderborn Lippstadt Airport
everett,PAE,Snohomish County (Paine Field) Airport
pagadian city,PAG,Pagadian Airport
paducah,PAH,Barkley Regional Airport
la dorada,PAL,German Olano Air Base
panama city,PAM,Tyndall Air Force Base
port-au-prince,PAP,Toussaint Louverture International Airport
palmer,PAQ,Warren "Bud" Woods Palmer Municipal Airport
patna,PAT,Lok Nayak Jayaprakash Airport
paulo afonso,PAV,Paulo Afonso Airport
port-de-paix,PAX,Port-de-Paix Airport
poza rica,PAZ,El TajÃƒÂ­n National Airport
puebla,PBC,Hermanos SerdÃƒÂ¡n International Airport
porbandar,PBD,Porbandar Airport
pine bluff,PBF,Pine Bluff Regional Airport, Grider Field
plattsburgh,PBG,Plattsburgh International Airport
paro,PBH,Paro Airport
west palm beach,PBI,Palm Beach International Airport
zandery,PBM,Johan Adolf Pengel International Airport
port amboim,PBN,Porto Amboim Airport
paraburdoo,PBO,Paraburdoo Airport
puerto barrios,PBR,Puerto Barrios Airport
putao,PBU,Putao Airport
plettenberg bay,PBZ,Plettenberg Bay Airport
potchefstroom,PCF,Potchefstroom Airport
pucallpa,PCL,Cap FAP David Abenzur Rengifo International Airport
puerto carreãƒâ±o,PCR,German Olano Airport
puerto inãƒâ­rida,PDA,Obando Airport
ketaping/padang - sumatra island,PDG,Minangkabau International Airport
atlanta,PDK,DeKalb Peachtree Airport
ponta delgada,PDL,JoÃƒÂ£o Paulo II Airport
talang gudang-sumatra island,PDO,Pendopo Airport
punta del este,PDP,Capitan Corbeta CA Curbelo International Airport
pendleton,PDT,Eastern Oregon Regional At Pendleton Airport
plovdiv,PDV,Plovdiv International Airport
portland,PDX,Portland International Airport
pardubice,PED,Pardubice Airport
perm,PEE,Bolshoye Savino Airport
perugia,PEG,Perugia San Francesco d'Assisi Ã¢Â€Â“ Umbria International Airport
pehuajãƒâ³,PEH,Comodoro Pedro Zanni Airport
pereira,PEI,MatecaÃƒÂ±a International Airport
beijing,PEK,Beijing Capital International Airport
puerto maldonado,PEM,Padre Aldamiz International Airport
penang,PEN,Penang International Airport
perth,PER,Perth International Airport
petrozavodsk,PES,Petrozavodsk Airport
pelotas,PET,JoÃƒÂ£o SimÃƒÂµes Lopes Neto International Airport
pãƒâ©cs-pogãƒâ¡ny,PEV,PÃƒÂ©cs-PogÃƒÂ¡ny Airport
peshawar,PEW,Peshawar International Airport
pechora,PEX,Pechora Airport
penza,PEZ,Penza Airport
passo fundo,PFB,Lauro Kurtz Airport
paphos,PFO,Paphos International Airport
page,PGA,Page Municipal Airport
perpignan/rivesaltes,PGF,Perpignan-Rivesaltes (LlabanÃƒÂ¨re) Airport
pantnagar,PGH,Pantnagar Airport
asalouyeh,PGU,Persian Gulf International Airport
greenville,PGV,Pitt Greenville Airport
pãƒâ©rigueux/bassillac,PGX,PÃƒÂ©rigueux-Bassillac Airport
ponta grossa,PGZ,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo
port harcourt,PHC,Port Harcourt International Airport
port hedland,PHE,Port Hedland International Airport
newport news,PHF,Newport News Williamsburg International Airport
philadelphia,PHL,Philadelphia International Airport
phalaborwa,PHW,Hendrik Van Eck Airport
phoenix,PHX,Phoenix Sky Harbor International Airport
peoria,PIA,General Wayne A. Downing Peoria International Airport
hattiesburg/laurel,PIB,Hattiesburg Laurel Regional Airport
st petersburg-clearwater,PIE,St Petersburg Clearwater International Airport
pingtung,PIF,Pingtung North Airport
pocatello,PIH,Pocatello Regional Airport
glasgow,PIK,Glasgow Prestwick Airport
pilar,PIL,Carlos Miguel Gimenez Airport
pisco,PIO,CapitÃƒÂ¡n FAP RenÃƒÂ¡n ElÃƒÂ­as Olivera International Airport
pierre,PIR,Pierre Regional Airport
poitiers/biard,PIS,Poitiers-Biard Airport
pittsburgh,PIT,Pittsburgh International Airport
piura,PIU,CapitÃƒÂ¡n FAP Guillermo Concha Iberico International Airport
pikwitonei,PIW,Pikwitonei Airport
pico island,PIX,Pico Airport
point lay,PIZ,Point Lay LRRS Airport
panjgur,PJG,Panjgur Airport
puerto jimenez,PJM,Puerto Jimenez Airport
parkersburg,PKB,Mid Ohio Valley Regional Airport
petropavlovsk-kamchatsky,PKC,Yelizovo Airport
parkes,PKE,Parkes Airport
pokhara,PKR,Pokhara Airport
pekanbaru-sumatra island,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport
pskov,PKV,Pskov Airport
beijing,PKX,Beijing Daxing International Airport
pakse,PKZ,Pakse International Airport
placencia,PLJ,Placencia Airport
manaus,PLL,Ponta Pelada Airport
palembang-sumatra island,PLM,Sultan Mahmud Badaruddin II Airport
pellston,PLN,Pellston Regional Airport of Emmet County Airport
port lincoln,PLO,Port Lincoln Airport
palanga,PLQ,Palanga International Airport
providenciales island,PLS,Providenciales Airport
belo horizonte,PLU,Pampulha - Carlos Drummond de Andrade Airport
palu-celebes island,PLW,Mutiara Airport
semey,PLX,Semipalatinsk Airport
port elizabeth,PLZ,Port Elizabeth Airport
chake,PMA,Pemba Airport
puerto montt,PMC,El Tepual Airport
palmdale,PMD,Palmdale Regional/USAF Plant 42 Airport
parma,PMF,Parma Airport
ponta porãƒâ£,PMG,Ponta PorÃƒÂ£ Airport
palma de mallorca,PMI,Palma De Mallorca Airport
palermo,PMO,FalconeÃ¢Â€Â“Borsellino Airport
perito moreno,PMQ,Perito Moreno Airport
tadmur,PMS,Palmyra Airport
isla margarita,PMV,Del Caribe Santiago MariÃƒÂ±o International Airport
palmas,PMW,Brigadeiro Lysias Rodrigues Airport
puerto madryn,PMY,El Tehuelche Airport
palmar sur,PMZ,Palmar Sur Airport
pamplona,PNA,Pamplona Airport
porto nacional,PNB,Porto Nacional Airport
ponca city,PNC,Ponca City Regional Airport
punta gorda,PND,Punta Gorda Airport
philadelphia,PNE,Northeast Philadelphia Airport
phnom penh,PNH,Phnom Penh International Airport
pohnpei island,PNI,Pohnpei International Airport
pontianak-borneo island,PNK,Supadio Airport
pantelleria (tp),PNL,Pantelleria Airport
popondetta,PNP,Girua Airport
pune,PNQ,Pune Airport
pointe noire,PNR,Pointe Noire Airport
pensacola,PNS,Pensacola International Airport
puerto natales,PNT,Tte. Julio Gallardo Airport
panevã„â—ã…â¾ys,PNV,PanevÃ„Â—Ã…Â¾ys Air Base
pondicherry,PNY,Pondicherry Airport
petrolina,PNZ,Senador Nilo Coelho Airport
porto alegre,POA,Salgado Filho Airport
fayetteville,POB,Pope Field
fort polk,POE,Polk Army Air Field
port gentil,POG,Port Gentil Airport
potosãƒâ­,POI,Capitan Nicolas Rojas Airport
pemba / porto amelia,POL,Pemba Airport
port moresby,POM,Port Moresby Jacksons International Airport
poãƒâ§os de caldas,POO,PoÃƒÂ§os de Caldas - Embaixador Walther Moreira Salles Airport
puerto plata,POP,Gregorio Luperon International Airport
pori,POR,Pori Airport
port of spain,POS,Piarco International Airport
ken jones,POT,Ken Jones Airport
poughkeepsie,POU,Dutchess County Airport
portoroz,POW,Portoroz Airport
cormeilles-en-vexin,POX,AÃƒÂ©rodrome de Pontoise - Cormeilles en Vexin
poznaã…â„,POZ,PoznaÃ…Â„-Ã…Âawica Airport
presidente prudente,PPB,Presidente Prudente Airport
pago pago,PPG,Pago Pago International Airport
petropavlosk,PPK,Petropavlosk South Airport
popayãƒâ¡n,PPN,Guillermo LeÃƒÂ³n Valencia Airport
proserpine,PPP,Proserpine Whitsunday Coast Airport
puerto princesa city,PPS,Puerto Princesa Airport
papeete,PPT,Faa'a International Airport
phu quoc island,PQC,Phu Quoc International Airport
presque isle,PQI,Presque Isle International Airport
port macquarie,PQQ,Port Macquarie Airport
parana,PRA,General Urquiza Airport
paso robles,PRB,Paso Robles Municipal Airport
prescott,PRC,Prescott Regional Airport - Ernest A. Love Field
prague,PRG,VÃƒÂ¡clav Havel Airport Prague
praslin island,PRI,Praslin Airport
portimãƒâ£o,PRM,PortimÃƒÂ£o Airport
prishtina,PRN,PriÃ…Â¡tina International Airport
pã…â™erov,PRV,PÃ…Â™erov Air Base
paris,PRX,Cox Field
pretoria,PRY,Wonderboom Airport
pisa,PSA,Pisa International Airport
pasco,PSC,Tri Cities Airport
port said,PSD,Port Said Airport
ponce,PSE,Mercedita Airport
petersburg,PSG,Petersburg James A Johnson Airport
pasni,PSI,Pasni Airport
poso-celebes island,PSJ,Kasiguncu Airport
portsmouth,PSM,Portsmouth International at Pease Airport
pasto,PSO,Antonio Narino Airport
palm springs,PSP,Palm Springs International Airport
pescara,PSR,Pescara International Airport
posadas,PSS,Libertador Gral D Jose De San Martin Airport
putussibau-borneo island,PSU,Pangsuma Airport
stanley,PSY,Port Stanley Airport
puerto suãƒâ¡rez,PSZ,CapitÃƒÂ¡n Av. Salvador Ogaya G. airport
polokwane,PTG,Polokwane International Airport
port heiden,PTH,Port Heiden Airport
pontiac,PTK,Oakland County International Airport
palmarito,PTM,Palmarito Airport
pointe-ãƒâ -pitre,PTP,Pointe-ÃƒÂ -Pitre Le Raizet
platinum,PTU,Platinum Airport
pitalito,PTX,Pitalito Airport
tocumen,PTY,Tocumen International Airport
puerto deseado,PUD,Puerto Deseado Airport
pau/pyrãƒâ©nãƒâ©es (uzein),PUF,Pau PyrÃƒÂ©nÃƒÂ©es Airport
punta cana,PUJ,Punta Cana International Airport
punta arenas,PUQ,Pdte. Carlos IbaÃƒÂ±ez del Campo Airport
busan,PUS,Gimhae International Airport
puttaparthi,PUT,Sri Sathya Sai Airport
puerto asãƒâ­s,PUU,Tres De Mayo Airport
pullman/moscow,PUW,Pullman Moscow Regional Airport
pula,PUY,Pula Airport
puerto cabezas,PUZ,Puerto Cabezas Airport
providencia,PVA,El Embrujo Airport
providence,PVD,Theodore Francis Green State Airport
shanghai,PVG,Shanghai Pudong International Airport
porto velho,PVH,Governador Jorge Teixeira de Oliveira Airport
preveza/lefkada,PVK,Aktion National Airport
portoviejo,PVO,Reales Tamarindos Airport
puerto vallarta,PVR,Licenciado Gustavo DÃƒÂ­az Ordaz International Airport
chukotka,PVS,Provideniya Bay Airport
provo,PVU,Provo Municipal Airport
pevek,PWE,Pevek Airport
chicago/prospect heights/wheeling,PWK,Chicago Executive Airport
portland,PWM,Portland International Jetport
pavlodar,PWQ,Pavlodar Airport
bremerton,PWT,Bremerton National Airport
pinedale,PWY,Ralph Wenz Field
puerto escondido,PXM,Puerto Escondido International Airport
vila baleira,PXO,Porto Santo Airport
surin,PXR,Surin Airport
pleiku,PXU,Pleiku Airport
puerto ayacucho,PYH,Cacique Aramare Airport
yakutia,PYJ,Polyarny Airport
karaj,PYK,Payam International Airport
andravida,PYR,Andravida Air Base
paz de ariporo,PZA,Paz De Ariporo Airport
pietermaritzburg,PZB,Pietermaritzburg Airport
fort sandeman,PZH,Zhob Airport
panzhihua,PZI,Bao'anying Airport
puerto ordaz-ciudad guayana,PZO,General Manuel Carlos Piar International Airport
temuco,PZS,Maquehue Airport
port sudan,PZU,Port Sudan New International Airport
pieã…â¡ã…â¥any,PZY,PieÃ…Â¡Ã…Â¥any Airport
bella coola,QBC,Bella Coola Airport
coningsby,QCY,RAF Coningsby
gifu,QGU,Gifu Airport
taubatãƒâ©,QHP,Base de AviaÃƒÂ§ÃƒÂ£o de TaubatÃƒÂ© Airport
debre zeyit,QHR,Harar Meda Airport
jubail,QJB,Jubail Airport
sarzana (sp),QLP,Sarzana-Luni Air Base
latina,QLT,Latina Air Base
annemasse,QNJ,Annemasse Airport
owerri,QOW,Sam Mbakwe International Airport
padova,QPA,Padova Airport
pinar del rio,QPD,Pinar Del Rio Airport
pirassununga,QPS,Campo Fontenelle Airport
johannesburg,QRA,Rand Airport
rancagua,QRC,De La Independencia Airport
querãƒâ©taro,QRO,QuerÃƒÂ©taro Intercontinental Airport
warri,QRW,Warri Airport
sãƒâ©tif,QSF,Ain Arnat Airport
san nicolãƒâ¡s,QSN,San Nicolas De Bari Airport
salerno,QSR,Salerno Costa d'Amalfi Airport
shache,QSZ,Yeerqiang Airport
uyo,QUO,Akwa Ibom International Airport
st. ives,QUY,RAF Wyton
gdynia,QYD,Oksywie Military Air Base
tokua,RAB,Tokua Airport
arar,RAE,Arar Domestic Airport
rafha,RAH,Rafha Domestic Airport
praia,RAI,Praia International Airport
rajkot,RAJ,Rajkot Airport
marrakech,RAK,Menara Airport
riverside,RAL,Riverside Municipal Airport
ribeirãƒâ£o preto,RAO,Leite Lopes Airport
rapid city,RAP,Rapid City Regional Airport
avarua,RAR,Rarotonga International Airport
rasht,RAS,Sardar-e-Jangal Airport
rawalakot,RAZ,Rawalakot Airport
rabat,RBA,Rabat-SalÃƒÂ© Airport
ratanakiri,RBE,Ratanakiri Airport
red bluff,RBL,Red Bluff Municipal Airport
rio branco,RBR,Rio Branco-PlÃƒÂ¡cido de Castro International Airport
ruby,RBY,Ruby Airport
rapid city,RCA,Ellsworth Air Force Base
richards bay,RCB,Richards Bay Airport
riohacha,RCH,Almirante Padilla Airport
rochefort/saint-agnant,RCO,Rochefort-Saint-Agnant (BA 721) Airport
reconquista,RCQ,Reconquista Airport
rio cuarto,RCU,Area De Material Airport
redding,RDD,Redding Municipal Airport
reading,RDG,Reading Regional Carl A Spaatz Field
redmond,RDM,Roberts Field
radom,RDO,Radom Airport
durgapur,RDP,Kazi Nazrul Islam Airport
grand forks,RDR,Grand Forks Air Force Base
rincon de los sauces,RDS,Rincon De Los Sauces Airport
raleigh/durham,RDU,Raleigh Durham International Airport
rodez/marcillac,RDZ,Rodez-Marcillac Airport
recife,REC,Guararapes - Gilberto Freyre International Airport
reggio calabria,REG,Reggio Calabria Airport
rawson,REL,Almirante Marco Andres Zar Airport
orenburg,REN,Orenburg Central Airport
siem reap,REP,Siem Reap International Airport
retalhuleu,RER,Retalhuleu Airport
resistencia,RES,Resistencia International Airport
reus,REU,Reus Air Base
rewa,REW,Rewa Airport, Chorhata, REWA
reynosa,REX,General Lucio Blanco International Airport
chicago/rockford,RFD,Chicago Rockford International Airport
uturoa,RFP,Raiatea Airport
rio grande,RGA,Hermes Quijada International Airport
gorno-altaysk,RGK,Gorno-Altaysk Airport
rio gallegos,RGL,Piloto Civil N. FernÃƒÂ¡ndez Airport
yangon,RGN,Yangon International Airport
hoemun-ri,RGO,Orang Airport
burgos,RGS,Burgos Airport
rengat-sumatra island,RGT,Japura Airport
termas de rãƒâ­o hondo,RHD,Termas de RÃƒÂ­o Hondo international Airport
rhinelander,RHI,Rhinelander Oneida County Airport
rodes island,RHO,Diagoras Airport
santa maria,RIA,Santa Maria Airport
richmond,RIC,Richmond International Airport
rioja,RIJ,Juan Simons Vela Airport
rifle,RIL,Garfield County Regional Airport
rishiri,RIS,Rishiri Airport
riverside,RIV,March ARB Airport
riverton,RIW,Riverton Regional Airport
riga,RIX,Riga International Airport
riyan,RIY,Riyan Mukalla International Airport
rizhao,RIZ,Rizhao Shanzihe Airport
rajahmundry,RJA,Rajahmundry Airport
rajshahi,RJH,Shah Mokhdum Airport
rijeka,RJK,Rijeka Airport
copenhagen,RKE,Copenhagen Roskilde Airport
rock springs,RKS,Southwest Wyoming Regional Airport
ras al khaimah,RKT,Ras Al Khaimah International Airport
reykjavik,RKV,Reykjavik Airport
xigazãƒâª,RKZ,Shigatse Air Base
rostock,RLG,Rostock-Laage Airport
bavannur,RLK,Bayannur Tianjitai Airport
roma,RMA,Roma Airport
rome,RME,Griffiss International Airport
marsa alam,RMF,Marsa Alam International Airport
rome,RMG,Richard B Russell Airport
rimini,RMI,Federico Fellini International Airport
colombo,RML,Colombo Ratmalana Airport
taichung city,RMQ,Taichung Ching Chuang Kang Airport
ramstein,RMS,Ramstein Air Base
corvera,RMU,RegiÃƒÂ³n de Murcia International Airport
universal city,RND,Randolph Air Force Base
roanne/renaison,RNE,Roanne-Renaison Airport
yoronjima,RNJ,Yoron Airport
rãƒâ¸nne,RNN,Bornholm Airport
reno,RNO,Reno Tahoe International Airport
rennes/saint-jacques,RNS,Rennes-Saint-Jacques Airport
roanoke,ROA,RoanokeÃ¢Â€Â“Blacksburg Regional Airport
monrovia,ROB,Roberts International Airport
rochester,ROC,Greater Rochester International Airport
robertson,ROD,Robertson Airport
rockhampton,ROK,Rockhampton Airport
rota island,ROP,Rota International Airport
babelthuap island,ROR,Babelthuap Airport
rosario,ROS,Islas Malvinas Airport
rotorua,ROT,Rotorua Regional Airport
rostov-on-don,ROV,Platov International Airport
roswell,ROW,Roswell Air Center Airport
rota,ROZ,Rota Naval Station Airport
rosh pina,RPN,Ben Ya'akov Airport
ruoqiang town,RQA,Ruoqiang Loulan Airport
qayyarah,RQW,Qayyarah West Airport
port mathurin,RRG,Sir Charles Gaetan Duval Airport
rãƒâ¸ros,RRS,RÃƒÂ¸ros Airport
santa rosa,RSA,Santa Rosa Airport
rock sound,RSD,Rock Sound Airport
russell,RSL,Russell Municipal Airport
rochester,RST,Rochester International Airport
yeosu,RSU,Yeosu Airport
fort myers,RSW,Southwest Florida International Airport
roatan island,RTB,Juan Manuel Galvez International Airport
rotterdam,RTM,Rotterdam The Hague Airport
saratov,RTW,Saratov Central Airport
arua,RUA,Arua Airport
rugao,RUG,Rugao Air Base
riyadh,RUH,King Khaled International Airport
ruidoso,RUI,Sierra Blanca Regional Airport
st denis,RUN,Roland Garros Airport
rutland,RUT,Rutland - Southern Vermont Regional Airport
rubelsanto,RUV,Rubelsanto Airport
rãƒâ¸rvik,RVK,RÃƒÂ¸rvik Airport, Ryum
rovaniemi,RVN,Rovaniemi Airport
tulsa,RVS,Richard Lloyd Jones Jr Airport
redwood falls,RWF,Redwood Falls Municipal Airport
rocky mount,RWI,Rocky Mount Wilson Regional Airport
rawlins,RWL,Rawlins Municipal Airport/Harvey Field
rivne,RWN,Rivne International Airport
roxas city,RXS,Roxas Airport
rybinsk,RYB,Staroselye Airport
oslo,RYG,Moss Airport, Rygge
rahim yar khan,RYK,Shaikh Zaid Airport
royan/mãƒâ©dis,RYN,Royan-MÃƒÂ©dis Airport
santa cruz,RZA,Santa Cruz Airport
rzeszãƒâ³w,RZE,RzeszÃƒÂ³w-Jasionka Airport
sacramento,SAC,Sacramento Executive Airport
santa fe,SAF,Santa Fe Municipal Airport
shirdi,SAG,Shirdi Airport
sana'a,SAH,Sana'a International Airport
san salvador (san luis talpa),SAL,MonseÃƒÂ±or ÃƒÂ“scar Arnulfo Romero International Airport
san diego,SAN,San Diego International Airport
san pedro sula,SAP,RamÃƒÂ³n Villeda Morales International Airport
andros island,SAQ,San Andros Airport
san antonio,SAT,San Antonio International Airport
savannah,SAV,Savannah Hilton Head International Airport
istanbul,SAW,Sabiha GÃƒÂ¶kÃƒÂ§en International Airport
siena,SAY,Siena-Ampugnano Airport
santa barbara,SBA,Santa Barbara Municipal Airport
san bernardino,SBD,San Bernardino International Airport
gustavia,SBH,Gustaf III Airport
saint-brieuc/armor,SBK,Saint-Brieuc-Armor Airport
santa ana del yacuma,SBL,Santa Ana Del Yacuma Airport
south bend,SBN,South Bend Regional Airport
san luis obispo,SBP,San Luis County Regional Airport
sabetta,SBT,Sabetta International Airport
springbok,SBU,Springbok Airport
sibu,SBW,Sibu Airport
salisbury,SBY,Salisbury Ocean City Wicomico Regional Airport
sibiu,SBZ,Sibiu International Airport
deadhorse,SCC,Deadhorse Airport
state college,SCE,University Park Airport
schenectady,SCH,Schenectady County Airport
stockton,SCK,Stockton Metropolitan Airport
santiago,SCL,Comodoro Arturo Merino BenÃƒÂ­tez International Airport
scammon bay,SCM,Scammon Bay Airport
saarbrãƒâ¼cken,SCN,SaarbrÃƒÂ¼cken Airport
aktau,SCO,Aktau Airport
santiago de compostela,SCQ,Santiago de Compostela Airport
sãƒâ¤len and trysil,SCR,Scandinavian Mountains Airport
shetland islands,SCS,Scatsta Airport
socotra islands,SCT,Socotra International Airport
santiago,SCU,Antonio Maceo International Airport
suceava,SCV,Suceava Stefan cel Mare Airport
syktyvkar,SCW,Syktyvkar Airport
langebaanweg,SDB,Langebaanweg Airport
lubango,SDD,Lubango Airport
santiago del estero,SDE,Vicecomodoro Angel D. La Paz AragonÃƒÂ©s Airport
louisville,SDF,Louisville Muhammad Ali International Airport
sendai,SDJ,Sendai Airport
sandakan,SDK,Sandakan Airport
sundsvall/ hãƒâ¤rnãƒâ¶sand,SDL,Sundsvall-HÃƒÂ¤rnÃƒÂ¶sand Airport
san diego,SDM,Brown Field Municipal Airport
sand point,SDP,Sand Point Airport
santo domingo,SDQ,Las AmÃƒÂ©ricas International Airport
santander,SDR,Santander Airport
sado,SDS,Sado Airport
saidu sharif,SDT,Saidu Sharif Airport
rio de janeiro,SDU,Santos Dumont Airport
sidney,SDY,Sidney - Richland Regional Airport
seattle,SEA,Seattle Tacoma International Airport
sabha,SEB,Sabha Airport
srednekolymsk,SEK,Srednekolymsk Airport
southend,SEN,Southend Airport
mahe island,SEZ,Seychelles International Airport
sfax,SFA,Sfax Thyna International Airport
orlando,SFB,Orlando Sanford International Airport
inglaterra,SFD,San Fernando De Apure Airport
spokane,SFF,Felts Field
grand case,SFG,L'EspÃƒÂ©rance Airport
kangerlussuaq,SFJ,Kangerlussuaq Airport
santa fe,SFN,Sauce Viejo Airport
san francisco,SFO,San Francisco International Airport
ã…âžanlã„â±urfa,SFQ,Ã…ÂžanlÃ„Â±urfa Airport
olongapo city,SFS,Subic Bay International Airport
skellefteãƒâ¥,SFT,SkellefteÃƒÂ¥ Airport
surgut,SGC,Surgut Airport
sãƒâ¸nderborg,SGD,SÃƒÂ¸nderborg Airport
springfield,SGF,Springfield Branson National Airport
springfield,SGH,Springfield-Beckley Municipal Airport
sargodha,SGI,Mushaf Air Base
ho chi minh city,SGN,Tan Son Nhat International Airport
houston,SGR,Sugar Land Regional Airport
st george,SGU,St George Municipal Airport
shanghai,SHA,Shanghai Hongqiao International Airport
nakashibetsu,SHB,Nakashibetsu Airport
shenyang,SHE,Taoxian Airport
shishmaref,SHH,Shishmaref Airport
shimojishima,SHI,Shimojishima Airport
sharjah,SHJ,Sharjah International Airport
shillong,SHL,Shillong Airport
shirahama,SHM,Nanki Shirahama Airport
sheridan,SHR,Sheridan County Airport
shreveport,SHV,Shreveport Regional Airport
xi'an,SIA,Xi'an Xiguan Airport
espargos,SID,AmÃƒÂ­lcar Cabral International Airport
san juan,SIG,Fernando Luis Ribas Dominicci Airport
siglufjãƒâ¶rãƒâ°ur,SIJ,SiglufjÃƒÂ¶rÃƒÂ°ur Airport
singapore,SIN,Singapore Changi Airport
simferopol,SIP,Simferopol International Airport
sion,SIR,Sion Airport
sishen,SIS,Sishen Airport
sitka,SIT,Sitka Rocky Gutierrez Airport
san jose,SJC,Norman Y. Mineta San Jose International Airport
san josãƒâ© del cabo,SJD,Los Cabos International Airport
san josãƒâ© del guaviare,SJE,Jorge E. Gonzalez Torres Airport
san jose,SJI,San Jose Airport
sarajevo,SJJ,Sarajevo International Airport
sãƒâ£o josãƒâ© dos campos,SJK,Professor Urbano Ernesto Stumpf Airport
sãƒâ£o gabriel da cachoeira,SJL,SÃƒÂ£o Gabriel da Cachoeira Airport
san jose,SJO,Juan Santamaria International Airport
sãƒâ£o josãƒâ© do rio preto,SJP,Prof. Eribelto Manoel Reino State Airport
san angelo,SJT,San Angelo Regional Mathis Field
san juan,SJU,Luis Munoz Marin International Airport
shijiazhuang,SJW,Shijiazhuang Daguocun International Airport
sartaneja,SJX,Sartaneja Airport
seinãƒâ¤joki / ilmajoki,SJY,SeinÃƒÂ¤joki Airport
velas,SJZ,SÃƒÂ£o Jorge Airport
spokane,SKA,Fairchild Air Force Base
basseterre,SKB,Robert L. Bradshaw International Airport
samarkand,SKD,Samarkand Airport
geiteryggen,SKE,Skien Airport
san antonio,SKF,Lackland Air Force Base
thessaloniki,SKG,Thessaloniki Macedonia International Airport
hadsel,SKN,Stokmarknes Skagen Airport
sokoto,SKO,Sadiq Abubakar III International Airport
skopje,SKP,Skopje International Airport
vojens,SKS,Skrydstrup Air Base
sialkot,SKT,Sialkot Airport
saransk,SKX,Saransk Airport
mirpur khas,SKZ,Sukkur Airport
salta,SLA,Martin Miguel De Guemes International Airport
salt lake city,SLC,Salt Lake City International Airport
sliaã„â,SLD,SliaÃ„Â Airport
salem,SLE,Salem Municipal Airport/McNary Field
saranac lake,SLK,Adirondack Regional Airport
salalah,SLL,Salalah Airport
salamanca,SLM,Salamanca Airport
salina,SLN,Salina Municipal Airport
san luis potosãƒâ­,SLP,Ponciano Arriaga International Airport
castries,SLU,George F. L. Charles Airport
saltillo,SLW,Plan De Guadalupe International Airport
salekhard,SLY,Salekhard Airport
sãƒâ£o luãƒâ­s,SLZ,Marechal Cunha Machado International Airport
vila do porto,SMA,Santa Maria Airport
somerset,SME,Lake Cumberland Regional Airport
sacramento,SMF,Sacramento International Airport
samos island,SMI,Samos Airport
stella maris,SML,Stella Maris Airport
salmon,SMN,Lemhi County Airport
santa marta,SMR,SimÃƒÂ³n BolÃƒÂ­var International Airport
smara,SMW,Smara Airport
santa maria,SMX,Santa Maria Pub/Capt G Allan Hancock Field
santa ana,SNA,John Wayne Airport-Orange County Airport
salinas,SNC,General Ulpiano Paez Airport
preguiãƒâ§a,SNE,PreguiÃƒÂ§a Airport
san felipe,SNF,Sub Teniente Nestor Arias Airport
pinar del rio,SNJ,San Julian Air Base
shannon,SNN,Shannon Airport
st paul island,SNP,St Paul Island Airport
saint-nazaire/montoir,SNR,Saint-Nazaire-Montoir Airport
salinas,SNS,Salinas Municipal Airport
santa clara,SNU,Abel Santamaria Airport
thandwe,SNW,Thandwe Airport
sidney,SNY,Sidney Municipal-Lloyd W Carr Field
rio de janeiro,SNZ,Santa Cruz Air Force Base
sãƒâ¡rmellãƒâ©k,SOB,HÃƒÂ©vÃƒÂ­zÃ¢Â€Â“Balaton Airport
sofia,SOF,Sofia Airport
sãƒâ¸rkjosen,SOJ,SÃƒÂ¸rkjosen Airport
el tigre,SOM,San TomÃƒÂ© Airport
luganville,SON,Santo Pekoa International Airport
sãƒâ¶derhamn,SOO,SÃƒÂ¶derhamn Airport
